time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
280,37.000,1053.923,1001.401,1024.843,1041.063,1050.296,1075.941,1166.719,1508.770,1676.152,0.001
285,40.800,1049.871,1001.412,1016.790,1033.724,1049.059,1092.406,1133.673,1509.109,1707.758,0.001
290,45.200,1043.258,1000.155,1017.402,1033.642,1049.774,1075.412,1093.304,1299.373,1399.322,0.001
295,43.800,1045.919,1000.740,1024.874,1041.493,1050.515,1083.656,1124.904,1182.947,1207.453,0.001
300,37.600,1052.802,1001.376,1024.848,1041.247,1050.366,1084.648,1132.931,1824.161,1841.741,0.001
305,28.400,1070.383,1000.453,1025.182,1041.733,1058.313,1108.148,1199.188,1958.666,2217.923,0.001
310,25.000,1081.139,1001.421,1034.277,1042.096,1066.436,1174.555,1299.318,1717.177,1717.501,0.001
315,28.600,1069.000,1001.067,1033.414,1042.328,1066.841,1141.403,1200.166,1441.674,1458.823,0.001
320,18.000,1110.499,1002.018,1036.963,1042.144,1067.194,1275.878,1400.374,2024.610,2024.610,0.001
325,27.400,1072.841,999.975,1033.536,1041.736,1066.260,1158.046,1259.004,1575.369,1717.654,0.001
330,29.000,1070.578,1000.999,1035.227,1041.741,1050.724,1116.166,1217.458,2058.973,2066.177,0.001
335,27.400,1073.931,1000.941,1040.807,1042.251,1059.004,1091.602,1242.171,1850.705,1858.593,0.001
340,14.200,1171.846,1001.081,1033.565,1042.134,1075.218,1232.623,1709.192,4495.593,4495.593,0.001
345,21.600,1068.805,1000.111,1033.592,1041.716,1058.119,1125.400,1250.270,1463.083,1486.906,0.001
350,26.200,1076.429,1000.835,1033.411,1041.843,1050.305,1075.561,1200.190,2642.004,2650.584,0.001
355,28.000,1100.665,1000.339,1033.516,1042.228,1066.549,1125.371,1299.908,3574.406,3636.614,0.001
360,25.200,1043.875,1000.458,1014.419,1038.246,1049.257,1064.579,1166.062,1291.811,1416.546,0.001
365,25.800,1077.349,1001.238,1032.542,1041.693,1057.721,1092.461,1308.118,2009.339,2042.052,0.001
370,34.600,1057.804,1000.837,1033.412,1041.966,1058.258,1091.700,1117.027,1697.451,1725.203,0.001
375,20.600,1114.810,1000.782,1025.255,1041.890,1074.399,1267.544,1542.395,2399.740,2441.240,0.001
380,22.800,1072.959,1001.509,1032.802,1041.848,1052.931,1091.672,1149.513,2233.947,2315.914,0.001
385,19.800,1184.176,1001.481,1025.001,1041.405,1066.732,1191.736,1342.223,6716.047,6716.047,0.001
390,4.000,1083.659,1008.601,1024.915,1041.643,1108.430,1350.197,1358.206,1358.206,1358.206,0.001
395,40.400,1049.328,1000.415,1025.450,1041.298,1050.112,1107.819,1140.974,1225.456,1348.919,0.001
400,25.800,1082.466,1001.136,1025.146,1042.160,1091.755,1208.504,1358.316,1532.749,1533.286,0.001
405,19.800,1093.581,1000.627,1033.197,1041.908,1083.338,1230.477,1491.765,1725.378,1725.378,0.001
410,37.800,1057.261,999.660,1025.188,1039.851,1049.932,1121.794,1182.816,1378.183,1767.469,0.001
415,30.600,1061.034,1001.402,1033.044,1041.870,1051.981,1126.375,1191.337,1450.353,1599.541,0.001
420,43.400,1049.496,1000.418,1033.231,1041.581,1049.739,1067.780,1126.159,1175.508,2010.206,0.001
425,29.600,1061.174,1001.160,1033.364,1041.948,1050.662,1116.791,1150.727,1467.202,1860.033,0.001
430,34.600,1057.999,1000.826,1033.232,1041.892,1050.873,1076.037,1208.523,1433.663,1449.788,0.001
435,41.000,1048.596,1001.110,1032.484,1041.688,1050.096,1067.498,1132.982,1249.643,1392.161,0.001
440,41.800,1047.876,1000.731,1026.059,1041.565,1050.232,1066.370,1118.097,1295.846,1483.706,0.001
445,39.400,1050.672,1000.052,1033.886,1042.006,1050.368,1067.335,1133.198,1432.732,1441.313,0.001
