time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
290,3.8,6403.933,1026.188,3113.203,4816.642,9815.17,13683.342,14285.184,14285.184,14285.184,0
295,3.6,4938.156,1584.304,1835.486,4543.017,7684.807,7936.151,10717.995,10717.995,10717.995,0
300,3.2,6737.05,1601.637,5169.754,6097.526,10456.838,10809.39,13005.944,13005.944,13005.944,0
305,3.4,5756.683,1426.089,3814.588,6221.78,6821.407,10168.974,13460.426,13460.426,13460.426,0
310,4,4918.878,1000.356,2779.564,5010.244,6279.977,8988.899,11595.442,11595.442,11595.442,0
315,4.2,4673.981,1006.372,3816.594,4267.455,6899.665,7249.127,7401.483,7466.801,7466.801,0
320,5.4,4473.22,1002.98,1768.819,5078.307,5831.552,9840.104,10459.079,10944.247,10944.247,0
325,4.8,4673.544,1003.355,1902.19,4960.691,7816.741,8694.709,8727.688,9247.765,9247.765,0
330,3.2,6082.483,1032.815,5118.417,5888.082,9154.03,11151.018,12630.756,12630.756,12630.756,0
335,4.2,3804.619,1004.057,1752.57,2871.584,6064.978,6523.939,7835.901,8504.932,8504.932,0
340,2.8,5903.354,1258.209,5719.416,6653.506,7046.501,8459.601,8883.451,8883.451,8883.451,0
345,3,5837.736,1032.562,1776.13,6520.493,8124.507,8174.257,12107.81,12107.81,12107.81,0
350,4,4882.54,1004.095,3925.944,4936.3,7342.678,7960.999,11865.658,11865.658,11865.658,0
355,3.2,5843.94,1005.75,4858.397,5183.917,9057.982,9166.138,13086.476,13086.476,13086.476,0
360,5,3887.938,1003.599,1568.462,1877.832,5184.928,8109.109,10164.748,10904.609,10904.609,0
365,4,5880.646,1777.873,4048.892,5746.71,7950.346,8534.898,10064.732,10064.732,10064.732,0
370,4.6,4441.099,1003.163,1710.751,4356.629,6471.7,7415.007,8249.469,9702.255,9702.255,0
375,3.2,5898.768,3131.114,4375.536,5552.836,7114.722,7884.328,11107.355,11107.355,11107.355,0
380,3.8,5738.645,1659.549,4300.356,4918.966,5486.413,11210.695,15613.521,15613.521,15613.521,0
385,4.8,4522.694,1003.325,1734.497,4291.905,7421.342,8319.466,8510.28,9037.957,9037.957,0
390,3.8,4261.666,1004.181,1618.08,3783.002,8149.976,8982.029,9293.616,9293.616,9293.616,0
395,4,5745.173,1094.348,4108.18,5082.217,8582.185,8991.97,10821.205,10821.205,10821.205,0
400,4.4,5972.838,1003.954,3730.57,7154.569,8043.56,9654.515,9980.805,13940.741,13940.741,0
405,3.4,4850.369,1342.354,1743.44,5026.258,5995.991,8494.282,11546.506,11546.506,11546.506,0
410,4.2,4781.268,1019.1,3531.753,4932.292,6615.481,7627.416,7718.655,10133.733,10133.733,0
415,3.4,5244.092,1004.606,4066.419,4793.643,7803.19,10797.089,11344.827,11344.827,11344.827,0
420,3.2,5649.039,1534.93,2311.735,6104.009,8885.513,9193.981,9253.611,9253.611,9253.611,0
425,3.4,5598.288,1003.904,2085.998,6311.358,7927.002,10491.219,10858.989,10858.989,10858.989,0
430,3.6,3660.715,1003.602,1677.039,4059.132,5644.864,6173.776,6522.836,6522.836,6522.836,0
435,3,6270.484,1036.227,2887.56,6095.591,9978.907,10238.47,13829.513,13829.513,13829.513,0
440,3.6,5402.096,1155.577,4001.901,4967.028,8426.677,9236.297,9705.681,9705.681,9705.681,0
445,3.8,4598.73,1003.641,1668.563,4250.729,7439.606,8463.23,8563.651,8563.651,8563.651,0
450,3.8,4697.265,1004.075,1777.401,5393.599,5909.848,7241.95,11227.009,11227.009,11227.009,0
455,4,5321.832,1425.543,2237.375,5552.182,8026.718,10097.532,10650.992,10650.992,10650.992,0
460,6,3909.482,1003.783,1560.739,4126.936,6084.221,7008.597,7742.948,9801.512,9801.512,0
465,3.6,5593.045,1090.354,4492.359,5025.36,8799.648,9418.83,9680.232,9680.232,9680.232,0
470,3.6,4962.352,1095.429,4589.108,4785.514,7274.656,7935.069,7961.467,7961.467,7961.467,0
475,4,5609.316,1020.613,4391.237,5517.2,7145.771,10127.424,11442.333,11442.333,11442.333,0
480,3.2,4896.085,1089.486,2879.829,5201.585,7408.158,8728.395,9539.277,9539.277,9539.277,0
485,3.8,5299.949,1004.602,4066.444,4876.383,6305.396,9006.67,9916.338,9916.338,9916.338,0
490,4,4387.613,1005.138,1634.509,5193.463,6790.402,7608.23,8385.847,8385.847,8385.847,0
495,3.6,5879.986,1003.64,1825.479,5601.128,9604.221,9829.417,10135.829,10135.829,10135.829,0
500,4.2,4323.373,1004.195,1726.622,4588.513,6983.997,7633.638,7689.575,8970.943,8970.943,0
505,3.8,3926.718,1022.817,1693.84,4852.183,5378.809,5638.837,10059.054,10059.054,10059.054,0
510,5.4,5555.283,1019.24,1711.117,5321.193,8644.603,10707.901,12633.275,14417.141,14417.141,0
515,3.6,6398.912,1392.415,4809.563,7166.225,8242.859,9672.354,10606.316,10606.316,10606.316,0
520,3.8,5362.671,1034.012,3689.928,4952.293,7733.792,8894.135,10799.268,10799.268,10799.268,0
525,3.6,5928.266,1003.836,1785.516,6580.683,9303.514,9828.927,12702.936,12702.936,12702.936,0
530,3.8,4805.956,1004.851,1802.752,4684.388,7189.588,8660.368,9779.643,9779.643,9779.643,0
535,4.8,4431.031,999.682,1693.718,4543.698,7727.185,8457.357,8995.498,9238.188,9238.188,0
540,4,4012.71,1004.024,1961.153,4470.625,5535.758,7584.209,8017.625,8017.625,8017.625,0
545,3.4,5742.541,1004.398,3764.698,5010.671,8326.059,8669.287,11229.783,11229.783,11229.783,0
550,4,6528.174,1005.309,2947.049,6805.834,10556.61,13011.312,13924.437,13924.437,13924.437,0
555,4.2,4631.506,1004.694,3589.379,4250.826,5786.499,7708.244,8889.728,10991.706,10991.706,0
560,3.8,4564.312,1004.002,2002.431,3797.94,5628.408,10750.253,11593.187,11593.187,11593.187,0
565,4.2,5740.849,1004.792,4600.717,5042.656,7205.011,8040.207,8685.486,12295.578,12295.578,0
570,3.6,5997.314,1004.618,4173.37,4914.827,8198.638,10870.685,13618.71,13618.71,13618.71,0
575,4.4,4306.718,1089.334,3340.999,3934.18,5211.962,7260.55,7611.238,11380.081,11380.081,0
580,3.2,5205.389,1002.923,4399.14,5243.155,8846.369,9309.923,9590.552,9590.552,9590.552,0
585,3.2,5567.624,1006.146,3815.524,6490.281,8151.036,8402.716,9940.728,9940.728,9940.728,0
590,4,5143.218,1031.338,4390.814,4717.846,7340.584,7423.458,9713.062,9713.062,9713.062,0
595,2.8,6052.497,1092.435,2328.334,5527.773,9002.379,10231.467,12444.834,12444.834,12444.834,0
600,3.2,4984.223,1425.907,4682.715,5093.062,6103.04,8684.661,8876.2,8876.2,8876.2,0
605,3.8,4581.184,1004.679,1567.843,4675.283,6872.915,8477.238,9005.959,9005.959,9005.959,0
610,4,4958.678,1003.623,3623.633,4609.172,7407.141,9848.002,10197.894,10197.894,10197.894,0
615,3.6,4468.074,1434.855,1634.267,4457.562,5869.415,9052.713,9269.551,9269.551,9269.551,0
620,3.6,4594.875,1005.487,1902.83,4276.201,5822.004,8543.946,11209.41,11209.41,11209.41,0
625,4.2,4242.536,1003.417,1819.635,3922.16,4737.324,9466.429,9482.648,10729.965,10729.965,0
630,4.6,5471.271,1026.645,1970.494,4819.243,7416.602,10473.593,10823.228,12445.04,12445.04,0
635,3.8,5155.204,1162.106,3922.742,4850.235,7290.097,7690.747,12099.398,12099.398,12099.398,0
640,3.2,6627.251,1000.803,4607.571,7721.774,8574.659,11896.834,12773.521,12773.521,12773.521,0
645,3.8,6127.128,1005.206,1777.303,7877.387,8672.1,9373.276,13101.867,13101.867,13101.867,0
650,5,4686.887,1030.277,2928.931,4868.53,6615.404,7693.718,7947.135,8351.62,8351.62,0
655,3.8,5848.314,1003.788,4959.722,5866.033,8770.568,9253.432,9337.724,9337.724,9337.724,0
660,4.2,5243.326,1036.886,3391.628,5693.671,7041.298,8152.704,8837.354,10934.201,10934.201,0
665,3.2,5511.004,1602.517,4585.173,5220.585,8244.777,8494.036,9263.388,9263.388,9263.388,0
670,3.6,5237.268,1003.116,3523.46,5455.717,7819.113,8179.251,11163.719,11163.719,11163.719,0
675,4.2,4544.419,1004.767,3557.961,4879.074,6263.998,6683.264,6781.703,7125.35,7125.35,0
680,4.2,5293.615,1005.735,3772.904,4742.451,6020.019,7573.938,11893.549,14303.758,14303.758,0
685,3,5660.006,1492.575,2712.722,6020.222,8267.754,8494.366,9689.31,9689.31,9689.31,0
690,3.2,3492.688,1007.3,1685.644,2648.739,4911.783,6459.093,9875.154,9875.154,9875.154,0
695,3.2,5120.106,1036.692,3643.254,5495.341,7911.722,8846.648,10819.518,10819.518,10819.518,0
700,4.2,5359.065,1093.388,3298.543,4667.967,7851.05,8955.09,8955.43,15162.613,15162.613,0
705,4,4809.464,1042.426,3673.474,4575.543,7801.493,8299.438,8309.639,8309.639,8309.639,0
710,4,4212.673,1004.06,1784.423,4834.195,6872.029,7733.591,8576.618,8576.618,8576.618,0
715,3,5094.206,1426.814,2044.474,5444.866,8426.81,8710.887,11440.03,11440.03,11440.03,0
720,7.4,4389.415,60.407,3416.63,4335.662,5165.799,7577.259,7869.297,9069.031,9069.031,0
725,3.8,5057.416,1089.964,4494.57,4892.047,5470.659,8519.91,9046.308,9046.308,9046.308,0
730,3.6,4648.141,1003.835,1726.795,5102.961,6131.273,8831.842,9407.768,9407.768,9407.768,0
735,4.4,5042.366,1003.899,3646.037,4893.815,7376.116,8245.201,8503.997,11495.242,11495.242,0
740,3.6,5182.568,1467.208,4298.186,5478.125,7306.256,8435.268,8952.078,8952.078,8952.078,0
745,4,5435.532,1003.668,4282.07,5327.873,5854.169,10267.841,10655.637,10655.637,10655.637,0
750,4.4,4824.418,1004.396,2270.401,4603.731,6767.562,7776.241,10452.828,10902.827,10902.827,0
755,3.8,4779.963,1004.93,1770.387,5018.755,7408.342,7908.854,10374.62,10374.62,10374.62,0
760,3.2,5312.968,1525.962,4407.503,4775.303,8481.915,9086.779,9695.512,9695.512,9695.512,0
765,4,4936.354,1003.988,2029.219,4242.82,8511.243,9998.708,10164.664,10164.664,10164.664,0
770,3.6,5737.427,1392.712,4483.342,5279.061,6624.271,9245.225,14440.783,14440.783,14440.783,0
775,3.2,5693.753,1028.918,4473.535,5483.521,7688.692,8346.977,12105.342,12105.342,12105.342,0
780,4.2,4123.952,1004.13,1676.46,3497.779,5807.366,8769.553,9302.769,10122.879,10122.879,0
785,4.8,5023.318,1003.73,3799.198,4425.447,7533.963,8212.037,8295.167,8569.987,8569.987,0
790,4.8,3620.993,1003.064,1512.956,3649.148,5171.061,8236.536,8344.756,8436.951,8436.951,0
795,4.4,5415.546,1003.371,2945.935,4624.22,8138.96,9391.358,9610.277,9760.553,9760.553,0
